Time resolution is 1 ps
t=5000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=x | dram_req_r=0 dram_req_w=0 dram_rdy=x dram_busy=0
t=15000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=25000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=35000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=45000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=55000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
PHASE3 TEST: starting MESI coherence checks
t=65000 core1.state=0 cpu_r=0 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=0 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=75000 core1.state=0 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=85000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=1 ARREADY=1 RVALID=0 RREADY=0 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=95000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=105000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=115000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=125000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=1 s_ARREADY=1 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=0
t=135000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=0 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=0
t=145000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=155000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=165000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=0 | dram_req_r=1 dram_req_w=0 dram_rdy=0 dram_busy=1
t=175000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=2 l2.mem_r=1 l2.mem_rdy=1 | dram_req_r=1 dram_req_w=0 dram_rdy=1 dram_busy=0
t=185000 core1.state=2 cpu_r=1 cpu_w=0 cpu_rdy=0 comp_hit=0 snoop_pend=0 | mem_req_r=1 mem_req_w=0 mem_rdy=0 | D_MST3: ARVALID=0 ARREADY=1 RVALID=0 RREADY=1 AWVALID=0 AWREADY=1 | s_ARVALID=0 s_ARREADY=0 s_RVALID=0 s_RREADY=1 | l2.state=3 l2.mem_r=0 l2.mem_rdy=0 | dram_req_r=0 dram_req_w=0 dram_rdy=0 dram_busy=1
